gene_callers_id	source	gene_name	gene_hmm_id	e_value	length	WAM_ALR	WAM_CCR	WAM_IPI	WAM_MAR	WAM_MYS	WAM_PBL	WAM_PJN	WAM_PPR	WAM_PST	WAM_ROL	WAM_SCR	WAM_SGN	WAM_SIS	WAM_TWN	WAR_ALR	WAR_CCR	WAR_IPI	WAR_MAR	WAR_MYS	WAR_PBL	WAR_PJN	WAR_PPR	WAR_PSK	WAR_PST	WAR_RNW	WAR_ROL	WAR_SCR	WAR_SGL	WAR_SIS	mag_id
1086975	Bacteria_71	RNA_pol_Rpb6	PF01192.22	5.2e-10	216	0	0	0	0.513888888888889	0.162037037037037	0	0.259259259259259	0	1.25925925925926	0	0.717592592592593	0	0	4.3287037037037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	WA_MAG_00044
1174649	Bacteria_71	Exonuc_VII_L	PF02601.15	7e-70	1221	0	0	0.247338247338247	0.0786240786240786	1.2997542997543	0	0	1.19246519246519	0.484848484848485	0	1.995904995905	0.115479115479115	0	3.00737100737101	0	0	0	0	0.245700245700246	0	0	0	0	0	0	0	0	0	0	WA_MAG_00044
1195537	Bacteria_71	YajC	PF02699.15	3e-30	267	0	0	0	0	2.29213483146067	0	0	0	0	0.0861423220973783	2.68164794007491	0.565543071161049	0.50936329588015	1.38951310861423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	WA_MAG_00044
238594	Bacteria_71	Ribosomal_S16	PF00886.19	5.2e-28	228	0	0	0	0	0	0	0	0.131578947368421	1.08771929824561	0	2.28070175438596	0	0	4.8859649122807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	WA_MAG_00044
276285	Bacteria_71	tRNA_m1G_MT	PF01746.21	5.7e-42	498	0	0	0	0.977911646586345	1.51606425702811	0.606425702811245	0	0.686746987951807	1.06024096385542	0	0.0421686746987952	0	0	6.70080321285141	0	0	0	0	0	0	0	0	0	0.590361445783133	0	0	0	0	0	WA_MAG_00044
276286	Bacteria_71	Ribosomal_L19	PF01245.20	7.2e-45	357	0	0	0	0.492997198879552	1.64425770308123	0	0	0.913165266106443	1.45378151260504	0	2.3781512605042	0	0	3.75070028011204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	WA_MAG_00044
310794	Bacteria_71	tRNA-synt_1d	PF00750.19	5.9e-22	1590	0.189937106918239	0	0	0.189937106918239	1.37044025157233	0.543396226415094	0	0.378616352201258	0.883647798742138	0.286792452830189	1.94779874213836	0.336477987421384	0	8.18238993710692	0	0	0	0.189308176100629	0	0	0	0	0	0.562264150943396	0.189308176100629	0	0	0	0	WA_MAG_00044
575257	Bacteria_71	GrpE	PF01025.19	4.1e-44	603	0	0	0	1.21890547263682	1.87728026533997	0	0	0.893864013266998	0.859038142620232	0.500829187396352	2.40132669983416	0.358208955223881	0	9.7379767827529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	WA_MAG_00044
653176	Bacteria_71	Ribosomal_S7	PF00177.21	5.6e-65	468	0	0.598290598290598	0	0.425213675213675	0.435897435897436	0	0	1.12820512820513	0	0.773504273504274	1.71367521367521	0	0	13.3354700854701	0	0	0	0	0	0	0	0	0.645299145299145	1.19871794871795	0	0	0	0	0	WA_MAG_00044
653177	Bacteria_71	Ribosom_S12_S23	PF00164.25	1e-42	372	0	0.413978494623656	0.405913978494624	0.481182795698925	3.3252688172043	1.09677419354839	0.403225806451613	0.150537634408602	0	0.895161290322581	1.41935483870968	0	0	11.247311827957	0	0	0	0	0.405913978494624	0	0	0	0	0	0	0	0	0.405913978494624	0	WA_MAG_00044
678563	Bacteria_71	Ribosomal_S6	PF01250.17	3.9e-33	357	0	0	0	1.31372549019608	1.00280112044818	0	0	0	0	0.302521008403361	1.63025210084034	0	0	4.3109243697479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	WA_MAG_00044
22623	Bacteria_71	Chorismate_synt	PF01264.21	1e-136	1083	0	0.277008310249307	0	0.533702677746999	1.97691597414589	0.245614035087719	0	0.556786703601108	0	0.175438596491228	0.892890120036934	0	0	4.70175438596491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	WA_MAG_00044
25794	Bacteria_71	IPPT	PF01715.17	1.1e-23	462	0	0	0	0.359307359307359	0	0	0	0	0	0	1.18614718614719	0	0	1.64935064935065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.463203463203463	WA_MAG_00044
34271	Bacteria_71	RBFA	PF02033.18	1.4e-15	306	0	0	0	0	1.4281045751634	0.986928104575163	0	0.493464052287582	0	0	1.46078431372549	0	0	1.04901960784314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	WA_MAG_00044
112448	Bacteria_71	ADK	PF00406.22	7.2e-37	570	0	0	0	0	0.933333333333333	0	0	0.540350877192982	0.529824561403509	0	1.37543859649123	0	0	6.09473684210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	WA_MAG_00044
112449	Bacteria_71	ADK	PF00406.22	6.9e-62	642	0	0	0	0	2.16666666666667	0	0	1.78348909657321	0.937694704049844	0	1.73831775700935	0.163551401869159	0	1.44859813084112	0	0	0	0	0	0	0	0	0	0.219626168224299	0	0	0	0	0	WA_MAG_00044
1472861	Bacteria_71	ATP-synt_A	PF00119.20	3.6e-54	690	0	0	0	0.473913043478261	3.01159420289855	0.278260869565217	0	0.43768115942029	0	0.420289855072464	2.94927536231884	0.389855072463768	0.43768115942029	4.87536231884058	0	0	0	0	0	0	0	0	0	0.43768115942029	0	0	0	0	0	WA_MAG_00044
1513744	Bacteria_71	ATP-synt	PF00231.19	2.6e-85	885	0.170621468926554	0	0	0.405649717514124	3.86214689265537	0.340112994350282	0	0.579661016949153	0.552542372881356	0	1.87683615819209	0	0	10.2338983050847	0	0	0	0	0	0	0	0	0	0.336723163841808	0	0	0	0	0	WA_MAG_00044
1575827	Bacteria_71	Ribosomal_L9_C	PF03948.14	4.3e-23	447	0	0	0	0.384787472035794	1.4675615212528	0	0	0	0.579418344519016	0	0.601789709172259	0	0	4.53914988814318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	WA_MAG_00044
