gene_callers_id	source	gene_name	gene_hmm_id	WAM_ALR	WAM_CCR	WAM_IPI	WAM_MAR	WAM_MYS	WAM_PBL	WAM_PJN	WAM_PPR	WAM_PST	WAM_ROL	WAM_SCR	WAM_SGN	WAM_SIS	WAM_TWN	WAR_ALR	WAR_CCR	WAR_IPI	WAR_MAR	WAR_MYS	WAR_PBL	WAR_PJN	WAR_PPR	WAR_PSK	WAR_PST	WAR_RNW	WAR_ROL	WAR_SCR	WAR_SGL	WAR_SIS
446901	Archaea_76	FbpA	PF05833.11	0	0	0.89086859688196	0	0	0	0	0	0.112100965107647	0.22271714922049	0.22271714922049	0.224201930215293	0.224201930215293	0	0.66815144766147	0	0.671863400148478	0	0.446919079435783	0.111358574610245	0.334075723830735	0	0.223459539717892	0.920564216778025	0	0.446919079435783	0	0.157386785449146	0.112100965107647
458156	Archaea_76	tRNA-synt_1c	PF00749.21	0	0	0.376470588235294	0.270588235294118	0	0	0	0	0.393464052287582	0	0	0	0	0	1.52679738562091	0	0.394771241830065	0	0	0	0.538562091503268	0	0.393464052287582	1.77254901960784	0	1.01437908496732	0.392156862745098	0.194771241830065	0.393464052287582
1362802	Archaea_76	SecY	PF00344.20	0.242718446601942	0.48462783171521	0.487864077669903	0	0	0.118932038834951	0.144012944983819	0	0.364886731391586	0.160194174757282	0.122168284789644	0.00485436893203883	0.243527508090615	0	0.531553398058252	0	0.841423948220065	0	0.55663430420712	0	0	0	0	1.22734627831715	0	1.16666666666667	0	0	0.0833333333333333
1174307	Archaea_76	Ribosomal_L3	PF00297.22	0.333333333333333	0	0.915151515151515	0	0	0	0	0	0	0.76969696969697	0	0	0.966666666666667	0	0.872727272727273	0	0	0	0	0	0	0.915151515151515	0	0.915151515151515	0	2.17272727272727	0	0	0.887878787878788
1174308	Archaea_76	Ribosomal_L4	PF00573.22	0.124031007751938	0	0.00930232558139534	0	0	0.291472868217054	0	0	0.572093023255814	0.463565891472868	0	0.466666666666667	0.291472868217054	0	0.443410852713178	0.195348837209302	0.465116279069767	0	0.283720930232558	0	0.69922480620155	0	0.218604651162791	0.350387596899225	0	1.69612403100775	0	0.893023255813953	0.317829457364341
1174309	Archaea_76	Ribosomal_L23	PF00276.20	0	0	0.73394495412844	0	0	0.235474006116208	0	0	1.41284403669725	0	0	0.636085626911315	0	0	0.458715596330275	0	0	0	0.250764525993884	0	0.458715596330275	0	0.403669724770642	0.773700305810398	0	0	0	0	0
1214915	Archaea_76	Ribosomal_L16	PF00252.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.978142076502732	0	0	0	0	0	0	0.60655737704918	1.60655737704918	0	0	0	0
1214916	Archaea_76	Ribosomal_L29	PF00831.23	0	0	0	0	0	0	0.0684931506849315	0	0	0	0	0	0	0	0.602739726027397	0	0.0365296803652968	0	0	0.0958904109589041	0.45662100456621	0.579908675799087	0	0.534246575342466	0	1.27397260273973	0	0	0
1214917	Archaea_76	Ribosomal_S17	PF00366.20	0	0	0.97411003236246	0	0	0	1.79288025889968	0	0	0.440129449838188	0	0	0	0	0	0	0.660194174757282	0	0	0.799352750809062	0.961165048543689	0.488673139158576	0	1.48220064724919	0.970873786407767	0.588996763754045	0	0.550161812297735	0
1214918	Archaea_76	Ribosomal_L14	PF00238.19	0	0	1.02981029810298	0.815718157181572	0	0	0.013550135501355	0	0	0.40650406504065	0	0	0	0	0	0	0.273712737127371	0	0	0	0.311653116531165	0	0	0.300813008130081	0	0.333333333333333	0	0.365853658536585	0
1214920	Archaea_76	Ribosomal_S8	PF00410.19	0.744949494949495	0	0.73989898989899	0	0	0	0.179292929292929	0	0	0.143939393939394	0	0	0	0	1.52020202020202	0	0	0	0.603535353535353	0	0	0	0	0.707070707070707	0	0.46969696969697	0	0	0
71677	Archaea_76	Ribosomal_S15	PF00312.22	0.47037037037037	0	0	0	0	0	1.51111111111111	0	0.0185185185185185	0	0	0	0	0	0	0	0.659259259259259	0.0333333333333333	0.0444444444444444	0	2.83333333333333	0	0.555555555555556	0.955555555555556	0.462962962962963	1.25555555555556	0	0	3.16666666666667
82715	Archaea_76	Ribosom_S12_S23	PF00164.25	0	0	0.796747967479675	0	0	1.43089430894309	0	0	0.597560975609756	0	0	0	0	0	0	0	0.239837398373984	0.613821138211382	0	0	0	0	0	2.93089430894309	0	2.39837398373984	0	0.613821138211382	0
82716	Archaea_76	Ribosomal_S7	PF00177.21	0.320594479830149	0	0	0	0	0.089171974522293	0	0	1.92356687898089	0	0	0	1.28237791932059	0	0	0	0.299363057324841	0	0.507430997876858	0	0.923566878980892	0	0.959660297239915	0.86411889596603	0	0	0	0.320594479830149	0.639065817409766
935824	Archaea_76	RNase_HII	PF01351.18	0	0	0.126543209876543	0	0	0.310699588477366	0	0	0	0	0	0.308641975308642	0.309670781893004	0	0.508230452674897	0	0.588477366255144	0	0.469135802469136	0.309670781893004	0.621399176954732	0	0.135802469135802	0.711934156378601	0.0946502057613169	0.954732510288066	0	0.166666666666667	0
